MutationFrequencyDifferenceRatio	Concordance	Probability	Gene0	Gene1	CooccurrenceRatio	MutationFrequency1	MutationFrequency0	MutationFrequencies	Somatic	Overlap	Coverage	RoundedLogPCov	MutationFrequencyDifference	Type	GeneSet
0.4077669902912621	True	0.046557171062263397	HOXA13loss	HLA-Aloss	0.009708737864077669	155	365	[365, 155]	0	5	515	4.0	210	MutuallyExclusive	frozenset(['HOXA13loss', 'HLA-Aloss'])
0.8260061919504644	True	0.029444332777314022	LMO1loss	HLA-Aloss	0.017956656346749224	155	1489	[1489, 155]	0	29	1615	4.7	1334	MutuallyExclusive	frozenset(['LMO1loss', 'HLA-Aloss'])
0.622799664710813	True	0.00092323994397625411	MLL3loss	KMT2Dloss	0.018440905280804692	979	236	[236, 979]	0	22	1193	6.1	743	MutuallyExclusive	frozenset(['MLL3loss', 'KMT2Dloss'])
0.4791666666666667	True	0.0005828247278626417	MLL2loss	CDK4loss	0.011029411764705883	608	217	[217, 608]	0	9	816	6.1	391	MutuallyExclusive	frozenset(['MLL2loss', 'CDK4loss'])
0.30045871559633025	True	0.00088922540694724337	CDH11loss	NOTCH2loss	0.10550458715596331	1053	1839	[1839, 1053]	0	276	2616	6.5	786	MutuallyExclusive	frozenset(['CDH11loss', 'NOTCH2loss'])
0.7362344582593251	True	0.001817358689310595	CLP1loss	HLA-Aloss	0.011545293072824156	155	984	[984, 155]	0	13	1126	5.8	829	MutuallyExclusive	frozenset(['CLP1loss', 'HLA-Aloss'])
0.6401299756295694	True	0.017799836443712601	MLL3loss	PHF6loss	0.023558082859463852	1024	236	[236, 1024]	0	29	1231	4.8	788	MutuallyExclusive	frozenset(['MLL3loss', 'PHF6loss'])
0.8470780993992354	True	0.004663554614390478	RPL22loss	HLA-Aloss	0.016384489350081924	155	1706	[1706, 155]	0	30	1831	5.6	1551	MutuallyExclusive	frozenset(['RPL22loss', 'HLA-Aloss'])
0.0658682634730539	True	0.0097484726597068857	MLL3loss	NACAP1loss	0.007984031936127744	269	236	[236, 269]	0	4	501	4.7	33	MutuallyExclusive	frozenset(['MLL3loss', 'NACAP1loss'])
0.7505813953488372	True	0.0040917885801899645	MLL3loss	VHLloss	0.025	1527	236	[236, 1527]	0	43	1720	5.6	1291	MutuallyExclusive	frozenset(['MLL3loss', 'VHLloss'])
0.4730238393977415	True	0.02923393459335176	MLL2loss	MSH2loss	0.01756587202007528	594	217	[217, 594]	0	14	797	4.4	377	MutuallyExclusive	frozenset(['MLL2loss', 'MSH2loss'])
0.501779359430605	True	0.013684641098284997	MLL2loss	C2orf44loss	0.0166073546856465	640	217	[217, 640]	0	14	843	4.8	423	MutuallyExclusive	frozenset(['MLL2loss', 'C2orf44loss'])
0.7678670360110803	True	0.044492465380481946	MLL3loss	SRGAP3loss	0.029362880886426593	1622	236	[236, 1622]	0	53	1805	4.6	1386	MutuallyExclusive	frozenset(['MLL3loss', 'SRGAP3loss'])
0.7122405153901217	True	0.016404016429657293	MLL2loss	TFPTloss	0.02290622763063708	1212	217	[217, 1212]	0	32	1397	4.9	995	MutuallyExclusive	frozenset(['MLL2loss', 'TFPTloss'])
0.7763088313061872	True	0.0037496472048378143	FGFR1OPloss	MLL3loss	0.025912215758857746	236	1704	[1704, 236]	0	49	1891	5.7	1468	MutuallyExclusive	frozenset(['FGFR1OPloss', 'MLL3loss'])
0.683982683982684	True	0.01429908311179327	MLL3loss	WASloss	0.024531024531024532	1184	236	[236, 1184]	0	34	1386	5.0	948	MutuallyExclusive	frozenset(['MLL3loss', 'WASloss'])
0.03885480572597137	True	0.0012404250185502504	MLL3loss	COX6Closs	0.00408997955010225	255	236	[236, 255]	0	2	489	5.6	19	MutuallyExclusive	frozenset(['MLL3loss', 'COX6Closs'])
