Gene	Entries
CNGB1	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTEN'])
RHBDF2	set(['EGFR(A)'])
WDFY3	set(['PTEN', 'EGFR(A)'])
ITGAM	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTEN(D)', 'MDM4(A)'])
SLC22A2	set(['MDM4(A)'])
GABRE	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'PTEN(D)'])
FLNA	set(['CDK4(A)', 'EGFR(A)', 'MDM4(A)'])
VWF	set(['CDKN2A(D)'])
ZNF407(D)	set(['MDM4(A)', 'EGFR(A)'])
ITGAD	set(['CDKN2A(D)', 'EGFR(A)'])
PRDM9	set(['EGFR(A)'])
COL12A1	set(['CDKN2A(D)'])
ZNF292	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)'])
MYOM3	set(['CDKN2A(D)', 'EGFR(A)', 'MDM4(A)', 'CDK4(A)'])
MYH11	set(['PTEN'])
MYH13	set(['PTEN(D)'])
MYH14	set(['PDGFRA(A)'])
MIR4710,INF2,ADSSL1,SIVA1,AKT1,ZBTB42(A)	set(['CDK4(A)'])
ACSM4	set(['MDM4(A)'])
ZNF831	set(['RB1(D)', 'CDK4(A)'])
SHROOM2	set(['EGFR(A)'])
TCHH	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'TP53(D)', 'MDM2(A)', 'MDM4(A)'])
UPF1	set(['PDGFRA(A)'])
AKAP13	set(['QKI(D),UTRN(D),ARID1B,TMEM242,ZDHHC14(D),PLG(D),RPS6KA2(D),SYNE1(D),PARK2(D)', 'EGFR(A)'])
ADAMTS16	set(['MDM2(A)', 'RB1(D)', 'FAF1(D)', 'PDGFRA(A)'])
THSD7B	set(['EGFR'])
