Gene0	Gene1	Weight	cometProbability	mutexProbability	Frequency	MinProbability
CDKN2Closs	HLA-Aloss	NA	NA	0.036756189285747844	1	0.036756189285747844
CNBPloss	MLL2loss	4.0642656844	0.0171755969529	0.011122161222345486	2	0.011122161222345486
RALGDSloss	CYTSBloss	4.39286927694	0.0123651990914	NA	1	0.0123651990914
CDK6loss	HLA-Aloss	NA	NA	0.04778706957150307	1	0.04778706957150307
MLL2loss	WIF1loss	4.84863237432	0.00783909116385	0.005285672246018671	2	0.005285672246018671
HERPUD1loss	BCL9loss	3.49874305601	0.0302353637064	0.01664313136505112	2	0.01664313136505112
SUZ12loss	CYTSBloss	5.01711002161	0.00662364125578	NA	1	0.00662364125578
ZBTB16loss	RUNDC2Aloss	3.05975665676	0.0468991064118	NA	1	0.0468991064118
GATA1loss	MYST4loss	3.24822382001	0.0388431390027	NA	1	0.0388431390027
FLT3loss	MYST4loss	5.5685250146	0.00381610498266	NA	1	0.00381610498266
CEP110loss	SRSF3loss	4.81976924942	0.00806864876972	NA	1	0.00806864876972
CEP89loss	MLL3loss	3.89720456506	0.0202985755558	0.012567022910344141	2	0.012567022910344141
MLL2loss	CDKN1Bloss	8.1263522911	0.000295644661968	0.00021113616921384352	2	0.00021113616921384352
RUNDC2Aloss	KMT2Aloss	3.02827720009	0.0483989480456	NA	1	0.0483989480456
MAFloss	NOTCH2loss	13.3156142948	1.64855024641e-06	9.743140252142592e-07	2	9.743140252142592e-07
CEP110loss	CBLloss	4.78358740376	0.00836593309071	NA	1	0.00836593309071
MLL3loss	EIF4A2loss	4.7355976256	0.00877720178357	0.005817244866000416	2	0.005817244866000416
NKX2-1loss	NT5C2loss	3.0098685154	0.0492981602834	NA	1	0.0492981602834
MLL2loss	KLK2loss	5.27242005086	0.00513117782385	0.003248583811864811	2	0.003248583811864811
CEP110loss	SDHDloss	3.4268623093	0.0324887205689	NA	1	0.0324887205689
MYST4loss	SSX2loss	3.01520429914	0.0490358164887	NA	1	0.0490358164887
MYST4loss	MYCLloss	4.74688899676	0.00867865256537	NA	1	0.00867865256537
MLL2loss	ATF1loss	6.87117999722	0.00103725238727	0.0007366584142886644	2	0.0007366584142886644
MLL3loss	SDHCloss	3.4350844655	0.0322226884113	0.022988223572064127	2	0.022988223572064127
MLL3loss	ZNF331loss	4.97301254214	0.00692226298305	0.004310022313128731	2	0.004310022313128731
MLL3loss	ABI1loss	NA	NA	0.04825491399053058	1	0.04825491399053058
FANCAloss	NOTCH2loss	9.24728232977	9.63732070865e-05	5.5237183889661954e-05	2	5.5237183889661954e-05
